gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2980834108,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/64166994,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,,SPECIES,"Bos gaurus C.H.Smith, 1827",Bos gaurus,,IN,,Kerala,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,10.078113,77.003985,31208,,,,,,2004-02-04T10:16:00,4,2,2004,2441026,2441025,HUMAN_OBSERVATION,iNaturalist,Observations,64166994,,jeanjacquesgodon,2020-11-04T10:45:59,CC_BY_NC_4_0,jeanjacquesgodon,jeanjacquesgodon,,,2020-11-22T18:27:37.272Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2980796224,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/64223775,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,,SPECIES,"Bos gaurus C.H.Smith, 1827",Bos gaurus,,IN,,Karnataka,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,12.181735,76.007239,31104,,,,,,2019-05-06T04:16:00,6,5,2019,2441026,2441025,HUMAN_OBSERVATION,iNaturalist,Observations,64223775,,Rohith Srinivasan,2020-11-05T06:34:27,CC_BY_NC_4_0,Rohith Srinivasan,Rohith Srinivasan,,,2020-11-22T18:28:02.615Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2963828801,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/63485863,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,,SPECIES,"Bos gaurus C.H.Smith, 1827",Bos gaurus,,IN,,Kerala,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,9.458163,77.066038,31236,,,,,,2020-01-25T16:12:00,25,1,2020,2441026,2441025,HUMAN_OBSERVATION,iNaturalist,Observations,63485863,,Leo_ Smutn_,2020-10-25T15:13:20,CC_BY_NC_4_0,Leo_ Smutn_,Leo_ Smutn_,,,2020-11-22T18:27:32.707Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2963745155,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/63749682,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,,SPECIES,"Bos gaurus C.H.Smith, 1827",Bos gaurus,,IN,,Karnataka,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,11.969793,76.366038,66028,,,,,,2017-05-16T00:00:00,16,5,2017,2441026,2441025,HUMAN_OBSERVATION,iNaturalist,Observations,63749682,,Daniel V Raju,2020-10-29T07:01:40,CC_BY_NC_4_0,Daniel V Raju,Daniel V Raju,,,2020-11-22T18:27:58.075Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2898530240,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/62622770,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,,SPECIES,"Bos gaurus C.H.Smith, 1827",Bos gaurus,,IN,,Madhya Pradesh,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,22.363377,80.652868,36092,,,,,,2003-04-17T06:54:00,17,4,2003,2441026,2441025,HUMAN_OBSERVATION,iNaturalist,Observations,62622770,,Yuwaraj Gurjar,2020-10-15T08:03:13,CC_BY_NC_4_0,Yuwaraj Gurjar,Yuwaraj Gurjar,,,2020-11-22T18:38:38.281Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2898492765,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/62219178,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,,SPECIES,"Bos gaurus C.H.Smith, 1827",Bos gaurus,,IN,,Kerala,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,11.151092,76.593558,31158,,,,,,2014-12-15T15:40:00,15,12,2014,2441026,2441025,HUMAN_OBSERVATION,iNaturalist,Observations,62219178,,Balakrishnan Peroth,2020-10-10T18:30:18,CC_BY_NC_4_0,Balakrishnan Peroth,Balakrishnan Peroth,,,2020-11-22T18:38:14.681Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2898469083,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/62477744,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,,SPECIES,"Bos gaurus C.H.Smith, 1827",Bos gaurus,,IN,,Chhattisgarh,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,22.449558,81.634167,30278,,,,,,2018-03-26T17:34:00,26,3,2018,2441026,2441025,HUMAN_OBSERVATION,iNaturalist,Observations,62477744,,satyaprakashpandey,2020-10-13T12:47:11,CC_BY_NC_4_0,satyaprakashpandey,satyaprakashpandey,,,2020-11-22T18:38:02.173Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2898285791,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/62255962,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,,SPECIES,"Bos gaurus C.H.Smith, 1827",Bos gaurus,,IN,,Kerala,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,10.177345,77.302841,31208,,,,,,2016-12-22T00:17:00,22,12,2016,2441026,2441025,HUMAN_OBSERVATION,iNaturalist,Observations,62255962,,Rich Kostecke,2020-10-11T00:46:15,CC_BY_NC_4_0,Rich Kostecke,Rich Kostecke,,,2020-11-22T18:27:03.046Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2898249786,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/62231094,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,,SPECIES,"Bos gaurus C.H.Smith, 1827",Bos gaurus,,IN,,Kerala,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,10.332362,77.085539,31199,,,,,,2016-12-23T17:00:00,23,12,2016,2441026,2441025,HUMAN_OBSERVATION,iNaturalist,Observations,62231094,,Rich Kostecke,2020-10-10T20:28:40,CC_BY_NC_4_0,Rich Kostecke,Rich Kostecke,,,2020-11-22T18:27:05.868Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2883138148,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/61758020,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,,SPECIES,"Bos gaurus C.H.Smith, 1827",Bos gaurus,,IN,,Madhya Pradesh,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,22.160987,80.67032,30318,,,,,,2013-10-26T17:25:10,26,10,2013,2441026,2441025,HUMAN_OBSERVATION,iNaturalist,Observations,61758020,,Jean-Paul Boerekamps,2020-10-05T06:14:58,CC_BY_NC_4_0,Jean-Paul Boerekamps,Jean-Paul Boerekamps,,,2020-11-22T18:26:59.579Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
